School Name,Class,Roll No,Student Name,Hindi,English,Maths,Science,Social,Computer,Total Marks,CGPA,Pass/Fail
Oxford Public School,1,11,Kiran Kapoor,16,30,58,3,3,25,135,2.25,Fail
Oxford Public School,1,22,Nikhil Chopra,8,9,43,86,21,13,180,3,Fail
Oxford Public School,1,5,Aarav Bajaj,21,43,39,21,25,47,196,3.27,Fail
Oxford Public School,1,24,Tanya Singh,5,85,83,14,38,1,226,3.77,Pass
Oxford Public School,1,8,Neha Verma,80,22,33,9,19,69,232,3.87,Pass
Oxford Public School,1,21,Rohan Verma,38,73,51,35,39,0,236,3.93,Pass
Oxford Public School,1,30,Simran Gupta,5,84,70,10,41,28,238,3.97,Pass
Oxford Public School,1,27,Tanya Verma,85,69,6,14,12,53,239,3.98,Pass
Oxford Public School,1,14,Neha Malhotra,36,34,12,47,67,48,244,4.07,Pass
Oxford Public School,1,9,Vivaan Mehta,75,44,0,48,78,3,248,4.13,Pass
Oxford Public School,1,16,Rohan Sharma,74,31,39,50,38,18,250,4.17,Pass
Oxford Public School,1,2,Tanya Verma,17,94,83,7,8,45,254,4.23,Pass
Oxford Public School,1,25,Divya Bajaj,51,7,31,77,54,34,254,4.23,Pass
Oxford Public School,1,17,Ishita Chopra,79,51,66,0,57,5,258,4.3,Pass
Oxford Public School,1,10,Rahul Singh,67,16,74,6,45,54,262,4.37,Pass
Oxford Public School,1,6,Kiran Bajaj,92,42,45,46,32,9,266,4.43,Pass
Oxford Public School,1,12,Aarav Mehta,27,83,46,64,23,33,276,4.6,Pass
Oxford Public School,1,19,Neha Malhotra,42,60,18,70,81,20,291,4.85,Pass
Oxford Public School,1,13,Neha Bajaj,36,35,12,95,84,38,300,5,Pass
Oxford Public School,1,20,Pooja Singh,74,17,68,97,37,34,327,5.45,Pass
Oxford Public School,1,29,Sanya Bajaj,97,8,98,22,22,84,331,5.52,Pass
Oxford Public School,1,23,Priya Bajaj,65,1,41,84,88,56,335,5.58,Pass
Oxford Public School,1,1,Ishita Mehta,33,35,49,52,86,88,343,5.72,Pass
Oxford Public School,1,28,Rahul Mehta,44,60,86,87,17,49,343,5.72,Pass
Oxford Public School,1,15,Sanjay Gupta,33,15,88,64,81,69,350,5.83,Pass
